,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
0,0,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017,1
1,1,a1074,b2263,youngish american,dams of the west,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
2,2,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017,1
3,3,a1116,b320,new order presents be music,various artists,Feb 17 2017,i'll be home for christmas,various artists,Nov 24 2014,0
4,4,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017,1
5,5,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
6,6,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
7,7,a1260,b3067,the return of east atlanta santa,gucci mane,Dec 16 2016,mr. davis,gucci mane,Oct 13 2017,0
8,8,a1264,b1528,peace trail,neil young,Dec 9 2016,earth,neil young,Jun 17 2016,0
9,9,a1280,b2892,the hamilton mixtape,various artists,Dec 2 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
10,10,a1416,b1863,the serenity of suffering,korn,Oct 21 2016,the serenity of suffering,korn,Oct 21 2016,1
11,11,a1493,b150,requiem,goat,Oct 7 2016,commune,goat,Sep 23 2014,0
12,12,a152,b3113,beach house iii,ty dolla $ign,Oct 27 2017,beach house 3,ty dolla sign,Oct 27 2017,1
13,13,a1569,b553,"young as the morning, old as the sea",passenger,Sep 23 2016,whispers ii,passenger,Apr 20 2015,0
14,14,a1606,b1720,tidal wave,taking back sunday,Sep 16 2016,tidal wave,taking back sunday,Sep 16 2016,1
15,15,a1626,b1681,splendor & misery,clipping,Sep 9 2016,splendor & misery,clipping.,Sep 9 2016,1
16,16,a1641,b1682,skeleton tree,nick cave & the bad seeds,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
17,17,a1645,b1696,sea of noise,st. paul & the broken bones,Sep 9 2016,skeleton tree,nick cave and the bad seeds,Sep 9 2016,0
18,18,a1659,b1682,signs of light,the head and the heart,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
19,19,a1659,b1703,signs of light,the head and the heart,Sep 9 2016,atmosphères,"tigran hamasyan, arve henriksen, eivind aarset, and jan bang",Sep 9 2016,0
20,20,a1662,b1675,birds in the trap sing mcknight,travis scott,Sep 2 2016,birds in the trap sing mcknight,travis scott,Sep 2 2016,1
21,21,a1664,b1668,false readings on,eluvium,Sep 2 2016,false readings on,eluvium,Sep 2 2016,1
22,22,a1801,b1599,major key,dj khaled,Jul 29 2016,major key,dj khaled,Jul 29 2016,1
23,23,a1917,b461,friday night [live],will butler,Jun 17 2016,policy,will butler,Mar 10 2015,0
24,24,a1924,b1507,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
25,25,a1926,b1507,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
26,26,a1932,b1507,breakin' point,peter bjorn and john,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
27,27,a1955,b1518,hollow bones,rival sons,Jun 10 2016,hollow bones,rival sons,Jun 10 2016,1
28,28,a20,b2329,pop 2 [mixtape],charli xcx,Dec 15 2017,number 1 angel,charli xcx,Mar 10 2017,0
29,29,a2045,b3178,day of the dead,various artists,May 20 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
30,30,a2054,b1445,mayday,boys noize,May 20 2016,mayday,boys noize,May 20 2016,1
31,31,a2062,b1426,coloring book [mixtape],chance the rapper,May 13 2016,coloring book,chance the rapper,May 13 2016,0
32,32,a2079,b1435,cloud nine,kygo,May 13 2016,cloud nine,kygo,May 13 2016,1
33,33,a2099,b498,bottomless pit,death grips,May 6 2016,the powers that b,death grips,Mar 31 2015,0
34,34,a2119,b1418,solid states,the posies,May 6 2016,chrome,the screaming jets,May 6 2016,0
35,35,a213,b2416,the wild,the rural alberta advantage,Oct 13 2017,the wild,raekwon,Mar 24 2017,0
36,36,a2133,b1388,waltzed in from the rumbling,plants and animals,Apr 29 2016,balter/saunier,"ensemble dal niente, marcos balter, and deerhoof",Apr 29 2016,0
37,37,a2146,b2108,close to the noise floor: formative uk electronica 1975-1984 [box set],various artists,Apr 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
38,38,a2198,b1337,gore,deftones,Apr 8 2016,gore,deftones,Apr 8 2016,1
39,39,a22,b1890,pressure,jeezy,Dec 15 2017,trap or die 3,jeezy,Oct 28 2016,0
40,40,a2228,b1314,everything you've come to expect,the last shadow puppets,Apr 1 2016,the wilderness,explosions in the sky,Apr 1 2016,0
41,41,a2254,b2887,psychopomp,japanese breakfast,Apr 1 2016,soft sounds from another planet,japanese breakfast,Jul 14 2017,0
42,42,a2300,b1288,"barbara barbara, we face a shining future",underworld,Mar 18 2016,"barbara barbara, we face a shining future",underworld,Mar 18 2016,1
43,43,a2325,b1280,feelin kinda free,the drones,Mar 18 2016,gather up the chaps,the falcon,Mar 18 2016,0
44,44,a2412,b1228,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,nemesis: the best of & reworked,blutengel,Feb 26 2016,0
45,45,a2412,b2205,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
46,46,a2436,b1212,phase,jack garratt,Feb 19 2016,phase,jack garratt,Feb 19 2016,1
47,47,a2526,b1142,pillars of ash,black tusk,Jan 29 2016,pillars of ash,black tusk,Jan 29 2016,1
48,48,a2587,b1092,i long to see you,charles lloyd,Jan 15 2016,i long to see you,charles lloyd & the marvels,Jan 15 2016,1
49,49,a2589,b2046,blackstar,david bowie,Jan 8 2016,no plan,david bowie,Jan 8 2017,0
50,50,a2600,b3117,royalty,chris brown,Dec 18 2015,heartbreak on a full moon,chris brown,Oct 31 2017,0
51,51,a2707,b996,one,kate boy,Nov 6 2015,one,kate boy,Nov 6 2015,1
52,52,a2719,b905,get up,bryan adams,Oct 30 2015,get up!,bryan adams,Oct 2 2015,1
53,53,a2731,b2355,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
54,54,a2731,b320,joy of living: a tribute to ewan maccoll,various artists,Oct 30 2015,i'll be home for christmas,various artists,Nov 24 2014,0
55,55,a2749,b2355,"ork records: new york, new york",various artists,Oct 30 2015,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
56,56,a2799,b1833,the documentary 2.5,the game,Oct 16 2015,1992,the game,Oct 14 2016,0
57,57,a2823,b928,surrender,hurts,Oct 9 2015,surrender,hurts,Oct 9 2015,1
58,58,a2866,b2108,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,"she rocks, vol. 1",various artists,Jan 20 2017,0
59,59,a2866,b320,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,i'll be home for christmas,various artists,Nov 24 2014,0
60,60,a2882,b883,dodge and burn,the dead weather,Sep 25 2015,dodge and burn,the dead weather,Sep 25 2015,1
61,61,a2905,b865,crosseyed heart,keith richards,Sep 18 2015,crosseyed heart,keith richards,Sep 18 2015,1
62,62,a2922,b854,"imani, vol. 1",blackalicious,Sep 18 2015,imani vol. 1,blackalicious,Sep 18 2015,1
63,63,a2965,b838,ropewalk,the view,Sep 11 2015,hollywood vampires,the hollywood vampires,Sep 11 2015,1
64,64,a2980,b831,"yours, dreamily",the arcs,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
65,65,a2981,b831,the night creeper,uncle acid and the deadbeats,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
66,66,a315,b3027,fabriclive 94,midland,Sep 22 2017,on the rocks,midland,Sep 22 2017,0
67,67,a317,b3024,brand new abyss,the blow,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
68,68,a353,b1528,hitchhiker,neil young,Sep 8 2017,earth,neil young,Jun 17 2016,0
69,69,a353,b677,hitchhiker,neil young,Sep 8 2017,the monsanto years,neil young,Jun 16 2015,0
70,70,a40,b2613,versatile,van morrison,Dec 1 2017,the authorized bang collection,van morrison,Apr 28 2017,0
71,71,a428,b2963,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,be here now,the mynabirds,Aug 25 2017,0
72,72,a433,b688,a fever dream,everything everything,Aug 18 2017,get to heaven,everything everything,Jun 22 2015,0
73,73,a491,b2003,noise reduction system: formative european electronica 1974-1984 [box set],various artists,Jul 28 2017,the hamilton mixtape,various artists,Dec 2 2016,0
74,74,a502,b2616,sacred hearts club,foster the people,Jul 21 2017,iii,foster the people,Apr 30 2017,0
75,75,a518,b2893,out in the storm,waxahatchee,Jul 14 2017,out in the storm,waxahatchee,Jul 14 2017,1
76,76,a524,b2887,soft sounds from another planet,japanese breakfast,Jul 14 2017,soft sounds from another planet,japanese breakfast,Jul 14 2017,1
77,77,a531,b1832,jungle rules,french montana,Jul 14 2017,mc4,french montana,Oct 14 2016,0
78,78,a555,b2108,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,"she rocks, vol. 1",various artists,Jan 20 2017,0
79,79,a555,b2541,silhouettes and statues: a gothic revolution 1978-1986 [box set],various artists,Jul 7 2017,the fate of the furious: the album,various artists,Apr 14 2017,0
80,80,a560,b3178,c88 [box set],various artists,Jul 7 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
81,81,a560,b321,c88 [box set],various artists,Jul 7 2017,shady xv,various artists,Nov 24 2014,0
82,82,a630,b2003,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,the hamilton mixtape,various artists,Dec 2 2016,0
83,83,a630,b2355,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
84,84,a65,b3147,(it was) because i was in love [deluxe reissue],sharon van etten,Nov 17 2017,if all i was was black,mavis staples,Nov 17 2017,0
85,85,a694,b2738,different days,the charlatans uk,May 26 2017,the songs and poems of molly drake,the unthanks,May 26 2017,0
86,86,a700,b2725,sgt. pepper's lonely hearts club band [50th anniversary edition deluxe version],the beatles,May 26 2017,different days,the charlatans,May 26 2017,0
87,87,a726,b2703,the king & i,faith evans and the notorious b.i.g.,May 19 2017,loopyness,lee burridge and lost desert,May 19 2017,0
88,88,a750,b583,ii,l.a. takedown,May 12 2017,ii,metz,May 4 2015,0
89,89,a761,b320,"sing it high, sing it low: tumbleweed records 1971-1973",various artists,May 12 2017,i'll be home for christmas,various artists,Nov 24 2014,0
90,90,a777,b2630,"from a room, vol. 1",chris stapleton,May 5 2017,from a room: volume 1,chris stapleton,May 5 2017,1
91,91,a815,b2608,visuals,mew,Apr 28 2017,visuals,mew,Apr 28 2017,1
92,92,a895,b2505,memories: do not open,the chainsmokers,Apr 7 2017,let me fly,mike + the mechanics,Apr 7 2017,0
93,93,a897,b2508,more scared of you than you are of me,the smith street band,Apr 7 2017,whiteout conditions,the new pornographers,Apr 7 2017,0
94,94,a899,b2520,wyw,wear your wounds,Apr 7 2017,wyw,wear your wounds,Apr 7 2017,1
95,95,a904,b2518,thunder of the gods,sun ra,Apr 7 2017,the assassination of julius caesar,ulver,Apr 7 2017,0
96,96,a905,b1752,resistance radio: the man in the high castle album,various artists,Apr 7 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
97,97,a910,b2461,close ties,rodney crowell,Mar 31 2017,close ties,rodney crowell,Mar 31 2017,1
98,98,a936,b2399,damage and joy,the jesus and mary chain,Mar 24 2017,souvenir,drew holcomb and the neighbors,Mar 24 2017,0
99,99,a997,b2338,everybody works,jay som,Mar 10 2017,everybody works,jay som,Mar 10 2017,1
100,100,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017,1
101,101,a1037,b2297,freedom is free,chicano batman,Mar 3 2017,freedom is free,chicano batman,Mar 3 2017,1
102,102,a1044,b3146,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,polygondwanaland,king gizzard & the lizard wizard,Nov 17 2017,0
103,103,a1044,b3188,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,gumboot soup,king gizzard & the lizard wizard,Dec 31 2017,0
104,104,a1046,b2277,why love now,pissed jeans,Feb 24 2017,why love now,pissed jeans,Feb 24 2017,1
105,105,a1049,b2260,in between,the feelies,Feb 24 2017,in between,the feelies,Feb 24 2017,1
106,106,a1049,b2263,in between,the feelies,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
107,107,a1061,b2284,gang signs & prayer,stormzy,Feb 24 2017,gang signs & prayer,stormzy,Feb 24 2017,1
108,108,a1072,b2263,don't get lost,the brian jonestown massacre,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
109,109,a1083,b2234,highway queen,nikki lane,Feb 17 2017,highway queen,nikki lane,Feb 17 2017,1
110,110,a1091,b2239,hard love,strand of oaks,Feb 17 2017,hard love,strand of oaks,Feb 17 2017,1
111,111,a11,b938,blue madonna,bØrns,Jan 12 2018,dopamine,bØrns,Oct 16 2015,0
112,112,a1116,b1953,new order presents be music,various artists,Feb 17 2017,christmas queens 2,various artists,Nov 11 2016,0
113,113,a1116,b2574,new order presents be music,various artists,Feb 17 2017,guardians of the galaxy vol. 2,various artists,Apr 21 2017,0
114,114,a1116,b2652,new order presents be music,various artists,Feb 17 2017,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017,0
115,115,a1116,b2892,new order presents be music,various artists,Feb 17 2017,punk goes pop vol. 7,various artists,Jul 14 2017,0
116,116,a1144,b2170,"occult architecture, vol. 1",moon duo,Feb 3 2017,"remember me: essential, vol. 1",rupaul,Feb 3 2017,0
117,117,a1147,b2167,after the party,the menzingers,Feb 3 2017,after the party,the menzingers,Feb 3 2017,1
118,118,a1163,b2063,not even happiness,julie byrne,Jan 27 2017,not even happiness,julie byrne,Jan 13 2017,1
119,119,a1177,b373,live in paris,sleater-kinney,Jan 27 2017,no cities to love,sleater-kinney,Jan 20 2015,0
120,120,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
121,121,a1202,b2128,talk about that,john mayall,Jan 27 2017,"no rain, no rose",john craigie,Jan 27 2017,0
122,122,a1202,b2141,talk about that,john mayall,Jan 27 2017,elegy,"theo bleckmann with ben monder, shai maestro, chris tordini, john hollenbeck",Jan 27 2017,0
123,123,a1205,b2134,piano song,matthew shipp,Jan 27 2017,piano song,matthew shipp trio,Jan 27 2017,1
124,124,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
125,125,a1210,b215,hang,foxygen,Jan 20 2017,...and star power,foxygen,Oct 14 2014,0
126,126,a1229,b2057,oczy mlody,the flaming lips,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017,1
127,127,a1229,b2070,oczy mlody,the flaming lips,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017,0
128,128,a1249,b2040,echolocation,gone is gone,Jan 6 2017,echolocation,gone is gone,Jan 6 2017,1
129,129,a125,b3123,unapologetically,kelsea ballerini,Nov 3 2017,unapologetically,kelsea ballerini,Nov 3 2017,1
130,130,a1255,b2008,fireplace: thenottheotherside,hodgy,Dec 23 2016,fireplace: thenottheotherside,hodgy,Dec 9 2016,1
131,131,a1264,b2014,peace trail,neil young,Dec 9 2016,peace trail,neil young,Dec 9 2016,1
132,132,a1268,b2010,4 your eyez only,j. cole,Dec 9 2016,4 your eyez only,j. cole,Dec 9 2016,1
133,133,a1269,b2108,action time vision: a story of independent u.k. punk 1976-1979 [box set],various artists,Dec 9 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
134,134,a1269,b3178,action time vision: a story of independent u.k. punk 1976-1979 [box set],various artists,Dec 9 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
135,135,a1276,b2001,blue and lonesome,the rolling stones,Dec 2 2016,blue & lonesome,the rolling stones,Dec 2 2016,1
136,136,a1280,b320,the hamilton mixtape,various artists,Dec 2 2016,i'll be home for christmas,various artists,Nov 24 2014,0
137,137,a1301,b2205,pop ambient 2017,various artists,Nov 25 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
138,138,a1301,b2892,pop ambient 2017,various artists,Nov 25 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
139,139,a1302,b2108,pc music volume 2,various artists,Nov 18 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
140,140,a1302,b2355,pc music volume 2,various artists,Nov 18 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
141,141,a1302,b301,pc music volume 2,various artists,Nov 18 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014,0
142,142,a1304,b862,woman,justice,Nov 18 2016,woman,jon stevens,Sep 18 2015,0
143,143,a1322,b1949,jessica rabbit,sleigh bells,Nov 11 2016,jessica rabbit,sleigh bells,Nov 11 2016,1
144,144,a1330,b1932,long live the angels,emeli sandé,Nov 11 2016,the 1966 live recordings,bob dylan,Nov 11 2016,0
145,145,a1353,b393,the 1966 live recordings [box set],bob dylan,Nov 11 2016,shadows in the night,bob dylan,Feb 3 2015,0
146,146,a1364,b1924,lodestar,shirley collins,Nov 4 2016,lodestar,shirley collins,Nov 4 2016,1
147,147,a1366,b1923,heavy entertainment show,robbie williams,Nov 4 2016,the heavy entertainment show,robbie williams,Nov 4 2016,1
148,148,a1366,b331,heavy entertainment show,robbie williams,Nov 4 2016,under the radar volume 1,robbie williams,Dec 8 2014,0
149,149,a1369,b1908,black america again,common,Nov 4 2016,black america again,common,Nov 4 2016,1
150,150,a1371,b1906,older terrors,esben and the witch,Nov 4 2016,collage,the chainsmokers,Nov 4 2016,0
151,151,a1371,b1911,older terrors,esben and the witch,Nov 4 2016,through the years: the best of the fray,the fray,Nov 4 2016,0
152,152,a1376,b1927,nightride [mixtape],tinashe,Nov 4 2016,nightride,tinashe,Nov 4 2016,0
153,153,a1376,b207,nightride [mixtape],tinashe,Nov 4 2016,aquarius,tinashe,Oct 7 2014,0
154,154,a1379,b1886,parachutes,frank iero and the patience,Oct 28 2016,two vines,empire of the sun,Oct 28 2016,0
155,155,a1395,b1900,brotherhood of the snake,testament,Oct 28 2016,brotherhood of the snake,testament,Oct 28 2016,1
156,156,a1398,b1886,the olympians,the olympians,Oct 28 2016,two vines,empire of the sun,Oct 28 2016,0
157,157,a1404,b1992,the stage,avenged sevenfold,Oct 28 2016,the best of 2005–2013,avenged sevenfold,Dec 2 2016,0
158,158,a1415,b1892,very kacey christmas,kacey musgraves,Oct 28 2016,a very kacey christmas,kacey musgraves,Oct 28 2016,1
159,159,a1417,b1865,you want it darker,leonard cohen,Oct 21 2016,you want it darker,leonard cohen,Oct 21 2016,1
160,160,a1432,b1752,lazarus [original cast recording],various artists,Oct 21 2016,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
161,161,a1432,b2003,lazarus [original cast recording],various artists,Oct 21 2016,the hamilton mixtape,various artists,Dec 2 2016,0
